,SentNumber,Verb,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group
84,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,tunas,fishes,birds,G
85,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,monkeys,mammals,fruit,G
86,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,trouts,fishes,birds,H
87,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,cows,mammals,fruit,H
88,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,cobras,reptiles,mammals,I
89,5,know,Matching,Babies don't know that,Token,Category,T6,1,1,novice,ticks,insects,fishes,I
90,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,pythons,reptiles,mammals,A
91,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,bees,insects,fishes,A
92,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,parrots,birds,reptiles,B
93,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,watermellon,fruits,insects,B
94,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,pigeons,birds,reptiles,C
95,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,kiwis,fruits,insects,C
96,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,vultures,birds,reptiles,D
97,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,oranges,fruits,insects,D
98,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,salmon,fishes,birds,E
99,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,bears,mammals,fruit,E
100,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,tunas,fishes,birds,F
101,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,monkeys,mammals,fruit,F
102,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,trouts,fishes,birds,G
103,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,cows,mammals,fruit,G
104,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,cobras,reptiles,mammals,H
105,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,ticks,insects,fishes,H
106,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,tortoises,reptiles,mammals,I
107,6,know,Mismatching,Babies don't know that,Token,Category,T5,1,0,novice,beetles,insects,fishes,I
108,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,parrots,birds,reptiles,A
109,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,watermellon,fruits,insects,A
110,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,pigeons,birds,reptiles,B
111,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,kiwis,fruits,insects,B
112,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,vultures,birds,reptiles,C
113,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,oranges,fruits,insects,C
114,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,salmon,fishes,birds,D
115,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,bears,mammals,fruit,D
116,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,tunas,fishes,birds,E
117,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,monkeys,mammals,fruit,E
118,7,say,Mismatching,Zoologists don't say that,Token,Category,T7,1,0,expert,trouts,fishes,birds,F
